Name,Bible passages,Children,Conflicts,Custom target scene count,Date,Inspiration count,Inspirations,Missing scene count,Parents,Priority,Products,Progress,Solutions,Tags,Weight,Wonderland count,_Form final scenes,_Form scenes,_Rup child scenes,_Rup child scenes 2
Peace in the eye of the storm,,,,,,2,"Mieruko-chan (../Inspirations/Inspirations/Mieruko-chan%205c8abc58917a455381362cb19b9aed0b.md), Big Trouble in Little China (../Inspirations/Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.md)",,,High,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,4,0,,,,
Desperation,"Mothers eating their children (../Data/Bible%20passages/Mothers%20eating%20their%20children%2029258e628ba280e09091d3ed00aa98c6.md), Saul and the medium (../Data/Bible%20passages/Saul%20and%20the%20medium%2029258e628ba28037a049cc5dc6d76e18.md), Asa turns to Baasha (../Data/Bible%20passages/Asa%20turns%20to%20Baasha%2029258e628ba280c1951fe61803f91389.md), Saul’s unlawful sacrifice (../Data/Bible%20passages/Saul%E2%80%99s%20unlawful%20sacrifice%2029258e628ba28024a086fd8e4fe897b0.md), The Levite and his Concubine (../Data/Bible%20passages/The%20Levite%20and%20his%20Concubine%2028f58e628ba28075872acfa60e4f2441.md), Cutting off the ear (../Data/Bible%20passages/Cutting%20off%20the%20ear%2029258e628ba2809abf38c4e9e5f25eb6.md)",,,,,4,"Tenkuu Shinpan (../Inspirations/Inspirations/Tenkuu%20Shinpan%20748ff563f82047c68c5bc3e6c8842598.md), Gantz (../Inspirations/Inspirations/Gantz%20a24f02cf50174af3a4c065855e47ba14.md), The Walking Dead (../Inspirations/Inspirations/The%20Walking%20Dead%201d28d505f48f437d8501aa594f07c6cb.md), Surviving Romance (../Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.md)",,,High,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,Nivana supporting her sister (../Solutions/Nivana%20supporting%20her%20sister%202aa58e628ba2801bbbdaef7a7af37013.md),,4,0,,,,
James’ job,,,,,,2,"Dilbert (../Inspirations/Inspirations/Dilbert%2015158e628ba280598922f8c0b88837c1.md), Duchess in Ruins (../Inspirations/Inspirations/Duchess%20in%20Ruins%201da58e628ba280fc9173d1f7d7680bf3.md)",,Family provision (../Features/Family%20provision%20a4f827664b094b91ae244ffa2385ce4d.md),High,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,"The agency losing an existing contract to a larger competitor (../Solutions/The%20agency%20losing%20an%20existing%20contract%20to%20a%20larger%2018a58e628ba28010b7d6f89840a374e3.md), (Next book) James working for the Wizards (../Solutions/(Next%20book)%20James%20working%20for%20the%20Wizards%2018a58e628ba280d3b4f3d8dd0b73c58c.md), Initially shroud the Asylum job in mystery (../Solutions/Initially%20shroud%20the%20Asylum%20job%20in%20mystery%201d958e628ba2805a96a9f094a30740bb.md), James as Risk Manager (../Solutions/James%20as%20Risk%20Manager%201d958e628ba280908cecc171379f6f4f.md), People discounting James because he is neither scientist nor wizard (../Solutions/People%20discounting%20James%20because%20he%20is%20neither%20sci%201da58e628ba2801d982cdf54523df89d.md), Magic contracts job (../Solutions/Magic%20contracts%20job%202ae58e628ba2808fb1e9f3c7b98c916a.md), Remote magic trading job (../Solutions/Remote%20magic%20trading%20job%202ae58e628ba28044aacbe1df1838b8e9.md)",,4,0,,,,
Community,,,,,,8,"Cursed Princess Club (../Inspirations/Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.md), The Office (../Inspirations/Inspirations/The%20Office%20ff3a2fef6cac42b199eb43c00fa8849f.md), Jane Austen (../Inspirations/Inspirations/Jane%20Austen%203e41441f25d94ebab2ee737d9815f33c.md), Naruto (../Inspirations/Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.md), Pride and Prejudice (../Inspirations/Inspirations/Pride%20and%20Prejudice%2013758e628ba2807798bbc04ae550da36.md), Big Trouble in Little China (../Inspirations/Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.md), River City Girls (../Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.md), Yuuyami Doori Tankentai (../Inspirations/Inspirations/Yuuyami%20Doori%20Tankentai%202cf58e628ba280a5ae34c8d766cd2229.md)",,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,2,0,,,,
Sojourner,,,,,,3,"Doctor Who (../Inspirations/Inspirations/Doctor%20Who%2027d58e628ba28012bd49c9bb9d4e613f.md), Sapphire and Steel (../Inspirations/Inspirations/Sapphire%20and%20Steel%20f4522f813fe047fe9cc7daef159bed6d.md), The Witcher (../Inspirations/Inspirations/The%20Witcher%20d52418cdc33d47ba8c64bc60adabd302.md)",,,,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,0,0,,,,
Cosmic horror,,,,,,5,"H. P. Lovecraft (../Inspirations/Inspirations/H%20P%20Lovecraft%208b960aeb87da4d2c816e0219335869e4.md), Berserk (../Inspirations/Inspirations/Berserk%20377a5e04430a4874a6db4ee356807932.md), The Darkest Dungeon (../Inspirations/Inspirations/The%20Darkest%20Dungeon%20df3ac67f75374c4aa1634a7575916828.md), In the Mouth of Madness (../Inspirations/Inspirations/In%20the%20Mouth%20of%20Madness%203a3a45e2b9d4455e94e3101a5eafa8ae.md), Jonathan Strange & Mr. Norrell (../Inspirations/Inspirations/Jonathan%20Strange%20&%20Mr%20Norrell%20ed711545bad14b739e7b27fb6ad5c1a3.md)",,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,"The Watching Door (../Solutions/The%20Watching%20Door%202ca58e628ba2802e94a8c08ffc264a2d.md), The Shadow Empire (../Solutions/The%20Shadow%20Empire%202ca58e628ba280c0a916fad81a02d690.md)",,1,0,,,,
Fire from the gods,The woman at the well (../Data/Bible%20passages/The%20woman%20at%20the%20well%2028f58e628ba2801b9ec9f01c647d0580.md),,,,,0,,,Playing with fire (../Features/Playing%20with%20fire%2011158e628ba280edaca1d0d5cfd07cc2.md),Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
Travelers,,,,,,3,"Sapphire and Steel (../Inspirations/Inspirations/Sapphire%20and%20Steel%20f4522f813fe047fe9cc7daef159bed6d.md), The Matrix (../Inspirations/Inspirations/The%20Matrix%2023058e628ba280c887e8f1e85aa43171.md), Doctor Who (../Inspirations/Inspirations/Doctor%20Who%2027d58e628ba28012bd49c9bb9d4e613f.md)",,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
My own worst enemy,,,,,,1,The Office (../Inspirations/Inspirations/The%20Office%20ff3a2fef6cac42b199eb43c00fa8849f.md),,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,2,0,,,,
Injected stability,Build houses (../Data/Bible%20passages/Build%20houses%20192028b3a6cc45708e199ece1d197241.md),,,,,2,"Cursed Princess Club (../Inspirations/Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.md), Aliens (../Inspirations/Inspirations/Aliens%2028c58e628ba2801a919ce41fb9a52aaa.md)",,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,Making everywhere home (../Solutions/Making%20everywhere%20home%20b97c110b9e18473da0d59eaa31a7aa96.md),,2,0,,,,
